Time,Vx,PbkD_L1,PbkD_L2,PbkD_R1,PbkD_R2,Ax,AV_Eng,Ay,StrSWr_1,Qfuel,CmpS_L1,CmpS_L2,CmpS_R1,CmpS_R2
0,79.68134799,0,0,0,0,-0.01103474,2073.398005,2.67E-09,0.036445691,0.000364806,121.6153154,78.04539523,121.6153154,78.04539523
0.025,79.66728669,0,0,0,0,-0.017103877,2071.073838,0.064302273,0.811102321,0.000300483,121.5893666,78.0052858,121.5873188,78.08419761
0.05,79.65226691,0,0,0,0,-0.016987368,2056.792105,0.077054926,0.792294961,0.000236134,121.341667,77.8731028,121.5256586,78.20573922
0.075,79.63701931,0.007824734,0.003129894,0.007824734,0.003129894,-0.017897774,2038.267533,0.07077352,0.745320673,0.000233827,120.7817093,77.6046386,121.4277356,78.4386244
0.1,79.62049925,0.098110372,0.039244149,0.098110372,0.039244149,-0.020185934,2023.212454,0.066203953,0.673508571,0.000232321,119.9805589,77.21611865,121.3360656,78.74849287
0.125,79.60052441,0.109338335,0.043735334,0.109338335,0.043735334,-0.025109909,2011.682928,0.065784434,0.581879788,0.000231168,119.1166629,76.78564574,121.2791586,79.04414208
0.15,79.57649594,0.120600302,0.048240121,0.120600302,0.048240121,-0.029242525,2003.337899,0.066636011,0.475115142,0.000230334,118.3745383,76.35630756,121.2709542,79.20388711
0.175,79.54903994,0.131908419,0.052763368,0.131908419,0.052763368,-0.032726073,1997.667595,0.065809596,0.357139069,0.000229767,117.8698272,75.88747775,121.3195743,79.11694147
0.2,79.51835029,0.212809388,0.085123755,0.212809388,0.085123755,-0.036911587,1994.093253,0.062545702,0.231428668,0.000229409,117.6270408,75.40752853,121.4291241,78.8264694
0.225,79.48370559,0.226991211,0.090796484,0.226991211,0.090796484,-0.040947313,1992.000475,0.057334279,0.101450529,0.0002292,117.5975902,74.99217503,121.5960327,78.47412593
0.25,79.44590744,0.241282175,0.09651287,0.241282175,0.09651287,-0.044012577,1990.860072,0.050763255,-0.029272874,0.000229086,117.7094909,74.70466637,121.8087484,78.18718481
0.275,79.40568974,0.311147516,0.124459006,0.311147516,0.124459006,-0.046503152,1990.247753,0.042941015,-0.157338084,0.000229025,117.9090304,74.5656033,122.051582,78.01967334
0.3,79.36273432,0.328074086,0.131229634,0.328074086,0.131229634,-0.050266301,1989.828664,0.033736658,-0.279716194,0.000228983,118.173247,74.55791213,122.3091927,77.95552871
0.325,79.31673814,0.345142713,0.138057085,0.345142713,0.138057085,-0.053497069,1989.360295,0.023185544,-0.393987554,0.000228936,118.5053552,74.64960005,122.5699919,77.94365772
0.35,79.26815559,0.362365382,0.144946153,0.362365382,0.144946153,-0.056370005,1988.734439,0.011315186,-0.498491759,0.000228873,118.9231118,74.81477493,122.8271037,77.93381366
0.375,79.21713484,0.424551181,0.169820472,0.424551181,0.169820472,-0.059598453,1987.92028,-0.00183335,-0.592275277,0.000228792,119.4465329,75.04236519,123.0770826,77.89619388
0.4,79.16288944,0.4439977,0.17759908,0.4439977,0.17759908,-0.063508036,1986.905931,-0.016185387,-0.674956182,0.000228691,120.0898833,75.3336955,123.3185504,77.82409039
0.425,79.10543718,0.463574887,0.185429955,0.463574887,0.185429955,-0.067067115,1985.705311,-0.03161001,-0.746666114,0.000228571,120.8578818,75.69610184,123.5514594,77.72568854
0.45,79.04498307,0.483287641,0.193315056,0.483287641,0.193315056,-0.070434973,1984.353879,-0.047922002,-0.80795232,0.000228435,121.7474174,76.13621246,123.7764186,77.61192837
0.475,78.98135044,0.538107924,0.21524317,0.538107924,0.21524317,-0.074505833,1982.878437,-0.064767592,-0.856479586,0.000228288,122.7523962,76.65687621,123.9940149,77.48888034
0.5,78.91396242,0.559620775,0.22384831,0.559620775,0.22384831,-0.078620991,1981.280352,-0.081154356,-0.886732754,0.000228128,123.8683611,77.25588451,124.2051947,77.3562519
0.525,78.84297356,0.581243766,0.232497506,0.581243766,0.232497506,-0.082514824,1979.573862,-0.09650174,-0.900444137,0.000227957,125.0922869,77.92665786,124.4128658,77.2111319
0.55,78.76848561,0.62777337,0.251109348,0.62777337,0.251109348,-0.086363911,1977.775861,-0.110847353,-0.899813072,0.000227778,126.418715,78.65959775,124.6225651,77.05247493
0.575,78.69013469,0.6508214,0.26032856,0.6508214,0.26032856,-0.090887144,1975.891319,-0.124290898,-0.887326819,0.000227589,127.8364218,79.44423382,124.8421142,76.88361673
0.6,78.60770924,0.673953634,0.269581454,0.673953634,0.269581454,-0.095244527,1973.91583,-0.136681262,-0.865576268,0.000227392,129.3295347,80.27038456,125.0804385,76.71158183
0.625,78.52132817,0.697169153,0.278867661,0.697169153,0.278867661,-0.099514986,1971.856352,-0.147770212,-0.83712438,0.000227186,130.880421,81.12845719,125.3461686,76.54475648
0.65,78.43099912,0.737612025,0.29504481,0.737612025,0.29504481,-0.104011331,1969.718738,-0.157233235,-0.80439701,0.000226972,132.4707919,82.00901878,125.6465399,76.39116369
0.675,78.33638968,0.761894527,0.304757811,0.761894527,0.304757811,-0.108785685,1967.497827,-0.165180749,-0.769583625,0.00022675,134.0816362,82.90169831,125.9872283,76.25787001
0.7,78.23750275,0.786239909,0.314495964,0.786239909,0.314495964,-0.113503639,1965.19087,-0.171616218,-0.734643647,0.000226519,135.6939428,83.79509254,126.3727251,76.15137967
0.725,78.13438722,0.810644156,0.324257662,0.810644156,0.324257662,-0.118233255,1962.800074,-0.1765722,-0.701270854,0.00022628,137.2893559,84.67778483,126.8066713,76.07732181
0.75,78.02695553,0.845646296,0.338258519,0.845646296,0.338258519,-0.123270504,1960.325548,-0.180121377,-0.670858657,0.000226033,138.8511748,85.53942765,127.2918121,76.04055064
0.775,77.91500491,0.87080601,0.348322404,0.87080601,0.348322404,-0.128400759,1957.761489,-0.182363025,-0.644486219,0.000225776,140.3656119,86.37128876,127.8300944,76.04497426
0.8,77.79853269,0.896002556,0.358401022,0.896002556,0.358401022,-0.133570154,1955.106316,-0.183422033,-0.622927572,0.000225511,141.822647,87.16670666,128.4226673,76.09321309
0.825,77.67750514,0.925932231,0.370372893,0.925932231,0.370372893,-0.138832365,1952.359474,-0.183445023,-0.606658934,0.000225236,143.216066,87.92112442,129.0697562,76.18655279
0.85,77.55177778,0.951618622,0.380647449,0.951618622,0.380647449,-0.144322846,1949.518295,-0.182592412,-0.595882875,0.000224952,144.5432547,88.63223156,129.7706636,76.32523613
0.875,77.42122963,0.977315832,0.390926333,0.977315832,0.390926333,-0.149895609,1946.578732,-0.181033658,-0.590567329,0.000224658,145.8050038,89.29984997,130.5239083,76.50835347
0.9,77.28578293,1.003012419,0.401204967,1.003012419,0.401204967,-0.155571368,1943.538747,-0.178944598,-0.590487801,0.000224354,147.0049594,89.92563567,131.3273521,76.73386058
0.925,77.14533636,1.029611521,0.411844609,1.029611521,0.411844609,-0.161378835,1940.396489,-0.17646761,-0.59527242,0.00022404,148.1487539,90.51269935,132.1782242,76.9988059
0.95,76.99975774,1.055543033,0.422217213,1.055543033,0.422217213,-0.167333315,1937.149693,-0.173778367,-0.604456716,0.000223715,149.2431396,91.06523559,133.0732098,77.29962773
0.975,76.84891967,1.081440139,0.432576055,1.081440139,0.432576055,-0.173426146,1933.796132,-0.171047203,-0.617527949,0.00022338,150.2953863,91.58810857,134.0084726,77.63234757
1,76.6926923,1.107288049,0.44291522,1.107288049,0.44291522,-0.179662369,1930.333771,-0.168444129,-0.633947338,0.000223033,151.3127563,92.08644781,134.9796294,77.99259732
1.025,76.53094142,1.13323753,0.453295012,1.13323753,0.453295012,-0.186047456,1926.760561,-0.166130631,-0.653173202,0.000222676,152.3021759,92.56541229,135.9816098,78.37576611
1.05,76.36352803,1.159145168,0.463658067,1.159145168,0.463658067,-0.192584483,1923.07435,-0.164219497,-0.674689384,0.000222307,153.2699932,93.03004607,137.0085804,78.776927
1.075,76.19031393,1.184963003,0.473985201,1.184963003,0.473985201,-0.199270254,1919.27289,-0.162791711,-0.698024592,0.000221927,154.2218499,93.48520246,138.0539707,79.1907958
1.1,76.0111646,1.210693652,0.484277461,1.210693652,0.484277461,-0.206100459,1915.353934,-0.161904078,-0.722764371,0.000221535,155.1626066,93.9354581,139.1106452,79.61186423
1.125,75.82595005,1.236429717,0.494571887,1.236429717,0.494571887,-0.213071018,1911.315206,-0.161578412,-0.748559166,0.000221132,156.0962545,94.38500877,140.1712041,80.03462486
1.15,75.63454158,1.262031878,0.504812751,1.262031878,0.504812751,-0.22017995,1907.154266,-0.161840566,-0.775130351,0.000220715,157.0258596,94.83757093,141.228321,80.45379543
1.175,75.43681667,1.287483817,0.514993527,1.287483817,0.514993527,-0.227418526,1902.868873,-0.162687157,-0.802268664,0.000220287,157.9536077,95.29631933,142.2750284,80.86448387
1.2,75.23266001,1.312813226,0.52512529,1.312813226,0.52512529,-0.234779089,1898.456921,-0.164097865,-0.829829832,0.000219846,158.8808394,95.76384732,143.304933,81.26229635
1.225,75.02350646,1.337864236,0.535145695,1.337864236,0.535145695,-0.239024058,1893.906565,-0.164337172,-0.856195409,0.000219391,159.7637464,96.23944716,144.2012757,81.64491373
1.25,74.80983279,1.362701582,0.545080633,1.362701582,0.545080633,-0.244892064,1889.152823,-0.166693191,-0.882917514,0.000218915,160.450011,96.70290746,144.6684185,82.01786789
1.275,74.5906578,1.387354583,0.554941833,1.387354583,0.554941833,-0.251431791,1884.180857,-0.17096823,-0.910864338,0.000218418,161.0338855,97.13015584,144.9517567,82.3884273
1.3,74.36553934,1.41175559,0.564702236,1.41175559,0.564702236,-0.25830293,1879.015869,-0.175672461,-0.939736265,0.000217902,161.5967811,97.5003222,145.1975166,82.76375075
1.325,74.13433279,1.435899762,0.574359905,1.435899762,0.574359905,-0.26517598,1873.688129,-0.179901511,-0.969009209,0.000217369,162.1675766,97.81613974,145.4548558,83.14351803
1.35,73.89825461,1.459844562,0.583937825,1.459844562,0.583937825,-0.269430054,1868.2189,-0.182003827,-0.9982397,0.000216822,162.7393696,98.06307267,145.7138104,83.42911681
1.375,73.65796195,1.483528618,0.593411447,1.483528618,0.593411447,-0.274731039,1862.641219,-0.185698063,-1.026868526,0.000216264,163.2693143,98.16668818,145.9393328,83.37140629
1.4,73.41278353,1.506767979,0.602707192,1.506767979,0.602707192,-0.28036903,1856.985847,-0.1914326,-1.054878894,0.000215699,163.7146911,98.23902147,146.0954283,83.19551422
1.425,73.16266724,1.529697865,0.611879146,1.529697865,0.611879146,-0.285811889,1851.236989,-0.19746081,-1.082822245,0.000215124,164.0445568,98.36637814,146.1633784,83.07619035
1.45,72.90792421,1.552414611,0.620965844,1.552414611,0.620965844,-0.290795193,1845.354291,-0.20265261,-1.111341497,0.000214535,164.2568902,98.55209663,146.140071,83.0302348
